"","xvar","yvar","spec","k","fill"
"1",143,"p-uniform",0,11,"0"
"2",143,"uw",0,11,"0"
"3",143,"fe",0,11,"0"
"4",143,"reml",0,11,"0"
"5",143,"rve",0,11,"0"
"6",143,"3-level",1,11,"11"
"7",143,"all es",0,11,"0"
"8",143,"ES > 3 removed",1,11,"11"
"9",143,"all therapy",0,11,"0"
"10",143,"C",0,11,"0"
"11",143,"B",0,11,"0"
"12",143,"A",1,11,"11"
"13",143,"all sexes",0,11,"0"
"14",143,"male",0,11,"0"
"15",143,"female",1,11,"11"
"16",143,"all groups",0,11,"0"
"17",143,"non-adults",0,11,"0"
"18",143,"adults",1,11,"11"
"19",91,"p-uniform",0,10,"0"
"20",91,"uw",0,10,"0"
"21",91,"fe",0,10,"0"
"22",91,"reml",0,10,"0"
"23",91,"rve",0,10,"0"
"24",91,"3-level",1,10,"10"
"25",91,"all es",0,10,"0"
"26",91,"ES > 3 removed",1,10,"10"
"27",91,"all therapy",0,10,"0"
"28",91,"C",0,10,"0"
"29",91,"B",0,10,"0"
"30",91,"A",1,10,"10"
"31",91,"all sexes",0,10,"0"
"32",91,"male",0,10,"0"
"33",91,"female",1,10,"10"
"34",91,"all groups",0,10,"0"
"35",91,"non-adults",1,10,"10"
"36",91,"adults",0,10,"0"
"37",113,"p-uniform",0,21,"0"
"38",113,"uw",0,21,"0"
"39",113,"fe",0,21,"0"
"40",113,"reml",0,21,"0"
"41",113,"rve",0,21,"0"
"42",113,"3-level",1,21,"21"
"43",113,"all es",0,21,"0"
"44",113,"ES > 3 removed",1,21,"21"
"45",113,"all therapy",0,21,"0"
"46",113,"C",0,21,"0"
"47",113,"B",0,21,"0"
"48",113,"A",1,21,"21"
"49",113,"all sexes",0,21,"0"
"50",113,"male",0,21,"0"
"51",113,"female",1,21,"21"
"52",113,"all groups",1,21,"21"
"53",113,"non-adults",0,21,"0"
"54",113,"adults",0,21,"0"
"55",23,"p-uniform",0,12,"0"
"56",23,"uw",0,12,"0"
"57",23,"fe",0,12,"0"
"58",23,"reml",0,12,"0"
"59",23,"rve",0,12,"0"
"60",23,"3-level",1,12,"12"
"61",23,"all es",0,12,"0"
"62",23,"ES > 3 removed",1,12,"12"
"63",23,"all therapy",0,12,"0"
"64",23,"C",0,12,"0"
"65",23,"B",1,12,"12"
"66",23,"A",0,12,"0"
"67",23,"all sexes",0,12,"0"
"68",23,"male",1,12,"12"
"69",23,"female",0,12,"0"
"70",23,"all groups",0,12,"0"
"71",23,"non-adults",0,12,"0"
"72",23,"adults",1,12,"12"
"73",3,"p-uniform",0,8,"0"
"74",3,"uw",0,8,"0"
"75",3,"fe",0,8,"0"
"76",3,"reml",0,8,"0"
"77",3,"rve",0,8,"0"
"78",3,"3-level",1,8,"8"
"79",3,"all es",0,8,"0"
"80",3,"ES > 3 removed",1,8,"8"
"81",3,"all therapy",0,8,"0"
"82",3,"C",0,8,"0"
"83",3,"B",1,8,"8"
"84",3,"A",0,8,"0"
"85",3,"all sexes",0,8,"0"
"86",3,"male",1,8,"8"
"87",3,"female",0,8,"0"
"88",3,"all groups",0,8,"0"
"89",3,"non-adults",1,8,"8"
"90",3,"adults",0,8,"0"
"91",12,"p-uniform",0,20,"0"
"92",12,"uw",0,20,"0"
"93",12,"fe",0,20,"0"
"94",12,"reml",0,20,"0"
"95",12,"rve",0,20,"0"
"96",12,"3-level",1,20,"20"
"97",12,"all es",0,20,"0"
"98",12,"ES > 3 removed",1,20,"20"
"99",12,"all therapy",0,20,"0"
"100",12,"C",0,20,"0"
"101",12,"B",1,20,"20"
"102",12,"A",0,20,"0"
"103",12,"all sexes",0,20,"0"
"104",12,"male",1,20,"20"
"105",12,"female",0,20,"0"
"106",12,"all groups",1,20,"20"
"107",12,"non-adults",0,20,"0"
"108",12,"adults",0,20,"0"
"109",46,"p-uniform",0,13,"0"
"110",46,"uw",0,13,"0"
"111",46,"fe",0,13,"0"
"112",46,"reml",0,13,"0"
"113",46,"rve",0,13,"0"
"114",46,"3-level",1,13,"13"
"115",46,"all es",0,13,"0"
"116",46,"ES > 3 removed",1,13,"13"
"117",46,"all therapy",0,13,"0"
"118",46,"C",0,13,"0"
"119",46,"B",1,13,"13"
"120",46,"A",0,13,"0"
"121",46,"all sexes",1,13,"13"
"122",46,"male",0,13,"0"
"123",46,"female",0,13,"0"
"124",46,"all groups",0,13,"0"
"125",46,"non-adults",0,13,"0"
"126",46,"adults",1,13,"13"
"127",28,"p-uniform",0,21,"0"
"128",28,"uw",0,21,"0"
"129",28,"fe",0,21,"0"
"130",28,"reml",0,21,"0"
"131",28,"rve",0,21,"0"
"132",28,"3-level",1,21,"21"
"133",28,"all es",0,21,"0"
"134",28,"ES > 3 removed",1,21,"21"
"135",28,"all therapy",0,21,"0"
"136",28,"C",0,21,"0"
"137",28,"B",1,21,"21"
"138",28,"A",0,21,"0"
"139",28,"all sexes",1,21,"21"
"140",28,"male",0,21,"0"
"141",28,"female",0,21,"0"
"142",28,"all groups",1,21,"21"
"143",28,"non-adults",0,21,"0"
"144",28,"adults",0,21,"0"
"145",165,"p-uniform",0,9,"0"
"146",165,"uw",0,9,"0"
"147",165,"fe",0,9,"0"
"148",165,"reml",0,9,"0"
"149",165,"rve",0,9,"0"
"150",165,"3-level",1,9,"9"
"151",165,"all es",0,9,"0"
"152",165,"ES > 3 removed",1,9,"9"
"153",165,"all therapy",0,9,"0"
"154",165,"C",1,9,"9"
"155",165,"B",0,9,"0"
"156",165,"A",0,9,"0"
"157",165,"all sexes",0,9,"0"
"158",165,"male",0,9,"0"
"159",165,"female",1,9,"9"
"160",165,"all groups",0,9,"0"
"161",165,"non-adults",1,9,"9"
"162",165,"adults",0,9,"0"
"163",148,"p-uniform",0,11,"0"
"164",148,"uw",0,11,"0"
"165",148,"fe",0,11,"0"
"166",148,"reml",0,11,"0"
"167",148,"rve",0,11,"0"
"168",148,"3-level",1,11,"11"
"169",148,"all es",0,11,"0"
"170",148,"ES > 3 removed",1,11,"11"
